restaurante,fecha,valoracion_ambiente,valoracion_personal,valoracion_comida
8,2021-10-01,4.1,3.7,3.1
8,2021-10-01,4.1,4.4,4.4
8,2021-10-01,4.6,3.9,3.3
8,2021-10-01,4.1,5.0,4.6
8,2021-10-01,4.1,4.7,3.9
8,2021-10-01,4.7,3.7,3.4
8,2021-10-01,3.8,3.8,5.0
8,2021-10-01,4.7,4.1,4.3
8,2021-10-01,3.0,4.8,4.6
8,2021-10-01,3.6,3.8,4.6
8,2021-10-01,4.4,3.8,4.3
8,2021-10-01,4.0,3.9,4.3
8,2021-10-01,5.0,3.9,4.1
8,2021-10-01,4.7,4.5,4.1
8,2021-10-01,3.8,4.4,4.2
8,2021-10-01,3.8,5.0,4.9
8,2021-10-01,4.1,4.4,4.6
8,2021-10-01,3.7,4.5,4.2
8,2021-10-01,3.8,4.6,4.7
8,2021-10-01,4.5,3.8,3.1
8,2021-10-01,3.8,4.0,4.4
8,2021-10-01,5.0,3.7,4.1
8,2021-10-01,3.7,4.9,2.9
8,2021-10-01,3.8,5.0,3.4
8,2021-10-01,5.0,4.5,4.5
8,2021-10-01,4.1,4.6,3.0
8,2021-10-01,4.1,4.1,4.0
8,2021-10-01,4.4,4.3,4.9
8,2021-10-01,4.0,3.8,3.8
8,2021-10-01,3.7,4.9,4.4
8,2021-10-01,4.1,4.2,3.7
8,2021-10-01,4.8,4.7,4.5
8,2021-10-01,5.0,3.7,4.4
8,2021-10-01,3.5,3.9,4.1
8,2021-10-01,3.7,3.9,3.9
8,2021-10-01,3.8,4.8,4.5
8,2021-10-01,4.4,3.4,4.3
8,2021-10-01,3.8,4.5,3.4
8,2021-10-01,4.1,3.8,3.5
8,2021-10-01,3.7,4.5,4.3
8,2021-10-01,4.8,4.3,4.1
8,2021-10-01,3.9,4.3,3.9
8,2021-10-01,3.6,3.8,3.4
8,2021-10-01,4.5,3.3,4.8
8,2021-10-01,3.7,3.0,4.4
8,2021-10-01,3.4,3.8,4.3
8,2021-10-01,4.4,3.9,3.9
8,2021-10-01,4.7,3.9,3.3
8,2021-10-01,3.6,4.2,3.7
8,2021-10-01,3.9,4.1,5.0
8,2021-10-01,4.2,4.1,3.5
8,2021-10-01,4.7,4.8,4.6
8,2021-10-01,3.7,4.2,4.5
8,2021-10-01,4.2,3.9,4.2
8,2021-10-01,3.9,3.8,4.7
8,2021-10-01,3.7,3.9,4.0
8,2021-10-01,3.7,4.3,3.8
8,2021-10-01,3.6,3.6,4.5
8,2021-10-02,4.7,4.1,2.7
8,2021-10-02,4.0,4.0,3.1
8,2021-10-02,4.2,3.5,3.6
8,2021-10-02,4.1,4.8,3.5
8,2021-10-02,4.2,4.5,3.8
8,2021-10-02,3.8,4.7,4.1
8,2021-10-02,3.7,3.7,4.0
8,2021-10-02,4.3,3.1,4.6
8,2021-10-02,4.8,4.7,4.1
8,2021-10-02,4.2,4.1,4.6
8,2021-10-02,3.7,4.1,3.5
8,2021-10-02,3.9,3.9,4.6
8,2021-10-02,4.0,3.3,4.5
8,2021-10-02,4.0,2.9,4.2
8,2021-10-02,4.5,4.4,4.1
8,2021-10-02,3.5,3.9,4.0
8,2021-10-02,4.1,3.2,3.9
8,2021-10-02,4.0,3.7,3.8
8,2021-10-02,3.8,4.5,3.4
8,2021-10-02,4.6,4.4,3.9
8,2021-10-02,4.0,4.6,4.8
8,2021-10-02,4.5,3.3,3.8
8,2021-10-02,4.3,4.6,4.3
8,2021-10-02,3.7,4.0,4.1
8,2021-10-02,4.4,3.6,4.7
8,2021-10-02,4.4,4.9,3.2
8,2021-10-02,4.2,4.3,3.6
8,2021-10-02,4.8,4.1,4.4
8,2021-10-02,4.5,4.0,3.7
8,2021-10-02,3.8,4.5,4.6
8,2021-10-02,4.4,3.7,4.4
8,2021-10-02,3.6,4.5,4.7
8,2021-10-02,4.0,4.7,3.6
8,2021-10-02,4.9,4.7,3.4
8,2021-10-02,4.0,4.9,4.6
8,2021-10-02,3.8,3.6,5.0
8,2021-10-02,4.5,3.7,3.2
8,2021-10-02,4.2,4.4,4.0
8,2021-10-02,4.0,4.5,4.0
8,2021-10-02,3.5,4.2,4.6
8,2021-10-02,4.6,3.5,3.7
8,2021-10-02,3.5,2.9,4.2
8,2021-10-02,5.0,4.3,3.9
8,2021-10-02,5.0,4.7,4.8
8,2021-10-02,3.7,3.1,4.4
8,2021-10-02,4.4,3.8,4.4
8,2021-10-02,3.5,4.2,3.5
8,2021-10-02,3.6,5.0,3.5
8,2021-10-02,4.8,4.1,4.1
8,2021-10-02,3.6,3.1,3.7
8,2021-10-02,4.4,3.3,4.3
8,2021-10-02,4.4,3.3,4.4
8,2021-10-02,4.1,3.9,4.6
8,2021-10-02,4.3,4.1,3.7
8,2021-10-02,4.7,3.8,3.7
8,2021-10-02,3.9,4.6,4.5
8,2021-10-02,5.0,4.0,4.0
8,2021-10-02,3.5,3.5,4.6
8,2021-10-03,3.4,4.1,4.2
8,2021-10-03,4.4,4.1,4.2
8,2021-10-03,4.9,5.0,3.9
8,2021-10-03,4.8,3.4,4.5
8,2021-10-03,3.0,3.7,4.1
8,2021-10-03,4.6,3.6,3.8
8,2021-10-03,4.8,4.2,3.8
8,2021-10-03,3.7,3.8,4.4
8,2021-10-03,4.1,3.8,3.7
8,2021-10-03,4.0,3.3,3.8
8,2021-10-03,4.5,4.3,4.6
8,2021-10-03,3.8,4.0,4.6
8,2021-10-03,3.8,3.5,4.2
8,2021-10-03,4.0,4.3,4.2
8,2021-10-03,4.7,3.6,4.0
8,2021-10-03,4.7,3.7,3.7
8,2021-10-03,4.7,3.7,5.0
8,2021-10-03,3.7,5.0,3.8
8,2021-10-03,4.6,4.5,5.0
8,2021-10-03,4.5,4.6,4.5
8,2021-10-03,4.0,3.4,4.6
8,2021-10-03,4.7,3.5,5.0
8,2021-10-03,4.6,4.4,4.2
8,2021-10-03,4.4,3.6,3.1
